Title_text,Title_href,Price,Description,Buyinfo
Syma RC dron X8W FPV wifi kamera biela - RC_16794,https://drony.heureka.sk/syma-rc-dron-x8w-fpv-wifi-kamera-biela-rc-16794/,"108,00 - 115,00 €",Syma X8C so svojimi rozmermi 500 mm po dĺžke aj šírke patrí medzi najväčšie modely produkované od spoločnosti Syma. Pri provom pohľade nezaprie nápadnú podonosť s profesionálnym...Možné zakúpiť priamo na Heureka.sk,Možné zakúpiť priamo na Heureka.sk
"
                     KVADROKOPTÉR Defiant DF-GR01
                ",https://3b03526a0dbc2e6018e63348d8d47352.heureka.sk/0/2682.click?tt=c30be5d1ee9708d0416e7c37006154ab39b35d12a2e6cbf34ec0a4b8040bd547896e287091883a1a0ddd5e8f15fbeeb6f4646ed240fc246a98d0b06763f22d98d1025e21a14ce5fa4c9ca7d4f6b56746fc23ca3cc4a128a79ec247519eb176bf5dd0b6e328a67669daffa4d21fc3a2403dbd68e09b1209f29b5514b13f8204454315ea58ffdc266fa96078c399051d6ff9b0e8a132280d1b049b2004f87384aa2aebb5d9a911d1549b192fac274cfcec07d86b606a98bebd56b5e1ecc5a3be1e01ccb570a8a4d94ef20c25c168caf8b6dc5c3814aa675c6735104bbac360d56117e1d53fdbe2edfd6997925667a70199d834f088afcbc05fbdc3e28ef29f29eaaa6e4ecd93e4f81355fa63547246d47f192c3ff6ec56d7177cc699fcd28f50febc8f0b36a0402f726fc7a3b4c6ffcae0485b2543d9fe2be76d5d3f482bdcb5191a38ec0e8adde333800fc082189e7dab9838e83cfeee425169dd3aa62012fb3993499492ca599cb9f65e51bbb71e334f37b6185a6145b3a6d62efbd0b4c8cea9052cfa5d954af42e5aad575902aecb62e874a5676d5fa78de2c1ca53dae0216762ff0e0dd1c57f78cf307b489fb07bed70eb5de1145b933673c6b1ab447f4ad44dd3e6a4c36a8b052e2afcc95e65058a7159938d49cbfdadb271da2009e3f112ebbcb6d0293c3f933465a3b5d7fb230a0e3843e8d8ac40deb8d99312a269351c1150ddc61209490f3eafaf2ec97d813c&positionId=category_advert_pos2&positionIndex=0&removedProducts=&guid=B87B60F7-E384-45FF-8EFA-33A0D83C7EB8,"72,00 - 75,00 €","
            Funkcia vznášania
Možnosť prevrátenia a vracania/nasledovania
Možnosť prenášanie obrazu do vašeho smartfónu v reálnom čase
Maximálny dosah pri ovládaní: až 200 metrov
        ",
SYMA X8HW Wifi-HD FPV - RC 45315,https://drony.heureka.sk/syma-x8hw-wifi-hd-fpv-rc-45315/,"130,00 - 143,00 €","Obrovský dron Syma X8HW s barometrom, kompasom, kamerou a online prenosom a záznamom do samrtphonu. NOVINKA osvedčená X8 teraz s barometrom na stráženie výšky. Extrémne stabilný...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
GoPro Karma - QKWXX-500-EU,https://drony.heureka.sk/gopro-karma-qkwxx-500-eu/,"999,99 €","Ľahko prenosný
Karma Drone je možné jednoducho zložiťa umiestnit do ľahkého púzdra. Zoberte ho všade so sebou. Keď s ním chcete vzlietnuť, stačí ho rozložiťpripojiť vrtule a...",
Syma X5Cs PRO - 40 minut letu - HD kamera SYMA - RC_44596,https://drony.heureka.sk/syma-x5cs-pro-40-minut-letu-hd-kamera-syma-rc-44596/,"113,22 €","Kvadrokoptéra na dálkové ovládání s dlouhou dobou letu
RC model multikoptéry SYMA X5Csw PRO
Vylepšená verze X5Csw PRO má silnější motory a odolnější a vyšší podvozek. Dále pak...",
AEE TORUK AP9,https://drony.heureka.sk/aee-toruk-ap9/,"368,90 - 428,99 €","AEE TORUK AP9 Dajte svojej kamere krídla S dronom AEE Toruk AP9, ku ktorému je možné pomocou držiaka jednoducho pripojiť Vašu akčnú kameru, môžete robiť neuveriteľné zábery...",
BUDDY TOYS BRQ 130 RC Dron 30,https://drony.heureka.sk/buddy-toys-brq-130-rc-dron-30/,"52,72 - 68,39 €","Kvadrokoptéra
3 režimy (začiatočník - normal - expert)
Nízka hmotnosť a odolná konštrukcia
Jednoduché použitie režimu FLIP
LED osvetlenie (2 predné zelené LED diódy a 2 červené...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
Syma X5SW Explorers 2 - rc dron s FPV a HD kamerou - RC_16983,https://drony.heureka.sk/syma-x5sw-explorers-2-rc-dron-s-fpv-a-hd-kamerou-rc-16983/,"69,90 - 87,00 €","RC Syma X5SW  Explorers 2,  4CH 2.4GHz, FPV HD 2.0MP 

Na pohľad takmer podobný ako Syma X5C, naviac má však tento model k dispozícii WIFI v reálnom čase na prenos videí a...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
DJI Phantom 3 Professional - DJI0322,https://drony.heureka.sk/dji-phantom-3-professional-dji0322/,"840,00 - 1 499,00 €","Kvadrokoptéra Phantom 3 s 4K Ultra HD kamerou umiestnenou na 3-osom stabilizovanom závesu a integrovaným systémom LightBridge pre prenos obrazu. 
Staňte sa režisérom a...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
Syma X5C Explorers - dron s HD kamerou - RC_8410,https://drony.heureka.sk/syma-x5c-explorers-dron-s-hd-kamerou-rc-8410/,"61,90 - 88,00 €",Syma X5C je najnovší model kvadrokoptéry strednej veľkosti. RC model je dodávaný s 2Mpix kamerou s režimom videa či zaznamenávanie fotografiu. Model je vďaka 6 - axis gyru veľmi...Možné zakúpiť priamo na Heureka.sk,Možné zakúpiť priamo na Heureka.sk
MJX X101 - RC_17001,https://drony.heureka.sk/mjx-x101-rc-17001/,"149,00 €","KVADROKOPTERA MJX 101 S HD kamerou 

Kvadrokoptéra MJX - X101 má veľmi dobré letové vlastnosti, ľahko sa ovláda a je pri lete veľmi stabilná. Napájanie zabezpečuje dvojčlánková...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
"Rayline R 250 s FPV ""polozávodná"" ložiská - RC_45131",https://drony.heureka.sk/rayline-r-250-s-fpv-polozavodna-loziska-rc-45131/,"146,00 €","Rayline R 250 s FPV prenosom , kompas a návrat

Rayline R250 vyzerá, ako keby prišiel z budúcnosti. Výrazný design, agresívny  vzhľad a vborná ovládateľnosť v spojení s...",
RC kvadrokoptéra Syma X5 SYMA - RC_16424,https://drony.heureka.sk/rc-kvadrokoptera-syma-x5-syma-rc-16424/,"55,00 €","RC kvadrokoptéra s HD kamerou Syma X5C Explorers, 2.4G HIT roku 2015! Jeden z najpredávanejších RC modelov v sekcii ""RC DRONY"". Syma X5C je najnovší model kvadrokoptéry strednej...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
DJI Phantom 4 Pro (Ovládač s obrazovkou) - DJIP4PRO2,https://drony.heureka.sk/dji-phantom-4-pro-ovladac-s-obrazovkou-djip4pro2/,"1 990,00 - 1 999,00 €","Najnovší dron od firmy DJI, PHANTOM 4 Pro Plus, prekonal svojho predchodcu ovládateľnosťou, funkciami, technickými vylepšeniami a ovládačom s displejom, ktorý prenáša obraz v HD...",
Smart Drone Parrot Mambo (PF727021AA),https://drony.heureka.sk/smart-drone-parrot-mambo-pf727021aa/,"107,88 €","Minidron Parrot Mambo je plný překvapení. I přes malé rozměry dokáže nabídnout spousty zábavy – zkrátka, s Parrot Mambo se nudit nebudete. Můžete s ním závodit, dělat...",
SYMA X54HW - WiFi prenos + barometer - SYMA RC_46390,https://drony.heureka.sk/syma-x54hw-wifi-prenos-plus-barometer-syma-rc-46390/,"82,00 - 99,00 €","RC Syma X54HW 4CH 2.4GHz, FPV HD 2.0MP 

X54HW je multifunkčná kvadrokoptéra  a silnejšia ako vlajková loď Syma X5.Je inovovaná čo sa týka použitia materiálov vonkajšieho...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
DFmodel Sky Watcher 3 - rc dron 18 minut letu a HD kamera - RC_16892,https://drony.heureka.sk/dfmodel-sky-watcher-3-rc-dron-18-minut-letu-a-hd-kamera-rc-16892/,"94,00 €","RC model SKY WATCHER 3 HD 9105 s HD kamerou a neuveriteľnou dobou letu 18 min.
 

Na jedno nabitie lietate až neuveriteľných 18 minút. Má vynikajúce testy odolnosti, použité...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
DJI Phantom 4 Pro (Klasický ovládač) - DJIP4PRO,https://drony.heureka.sk/dji-phantom-4-pro-klasicky-ovladac-djip4pro/,"1 690,00 - 1 699,00 €","Najnovší dron od firmy DJI, PHANTOM 4 Pro, prekonal svojho predchodcu ovládateľnosťou, funkciami a technickými vylepšeniami. Už nie ste len človek ktorý ovláda quadrikoptéru,...",
"Syma RC dron X12S nano, 6 axis gyro červená - RC - 16540",https://drony.heureka.sk/syma-rc-dron-x12s-nano-6-axis-gyro-cervena-rc-16540/,"27,20 €",Renomovaný a známy výrobca Syma opäť prichádza so zaujímavým kúskom. Tentoraz s vylepšenou verziou svojho nano dronu Syma X12. Nová verzia X12S nano dostala elegantnejší vzhľad...,
Syma X11 - odolný rc dron 2.4 GHz - RC_16691,https://drony.heureka.sk/syma-x11-odolny-rc-dron-2_4-ghz-rc-16691/,"35,90 €","SYMA X11 - RC model kvadrokoptéry

RC kvadrokoptéra SYMA X11 je ideálnou voľbou pre tých, ktorí hľadajú univerzálny RC model multikoptéry, ktorý môže lietať vo všetkých...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
R8 Cheerson CX-30S Wifi + ovládač s monitorom - CX-30S,https://drony.heureka.sk/r8-cheerson-cx-30s-wifi-plus-ovladac-s-monitorom-cx-30s/,"99,90 €",Mini quadrokoptéra. Ovládaná pomocou vysielačky s veľkým LCD FPV displejom a mini kamerou na natáčanie videa.,
"Syma RC dron X12S nano, 6 axis gyro, čierna, RC - 16540",https://drony.heureka.sk/syma-rc-dron-x12s-nano-6-axis-gyro-cierna-rc-16540/,"27,20 €",Renomovaný a známy výrobca Syma opäť prichádza so zaujímavým kúskom. Tentoraz s vylepšenou verziou svojho nano dronu Syma X12. Nová verzia X12S nano dostala elegantnejší vzhľad...,
AEE TORUK AP10 biely,https://drony.heureka.sk/aee-toruk-ap10-biely/,"425,00 - 699,00 €","Profesionálna kamera, ktorá lieta

Dajte svojmu natáčaniu úplne nový rozmer. S kvadrokoptérou TORUK AP10 môžete vytvárať neuveriteľné zábery z vtáčej perspektívy, ktoré Vám bude...",
Revell Nano Quad white/red - 23970,https://drony.heureka.sk/revell-nano-quad-white-red-23970/,"33,40 €","Dron Mini Quadrocopter ""Nano Quad"" bielo-červená:Unikátny miniatúrny RC model Quadrocopter Nano Quad vás uchváti svojou veľkosťou, jeho rozmery sú len 45 x 45 mm. Lietať s ním...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
Syma RC dron X8W FPV wifi kamera čierna - RC_16794,https://drony.heureka.sk/syma-rc-dron-x8w-fpv-wifi-kamera-cierna-rc-16794/,"108,80 €",Syma X8C so svojimi rozmermi 500 mm po dĺžke aj šírke patrí medzi najväčšie modely produkované od spoločnosti Syma. Pri provom pohľade nezaprie nápadnú podonosť s profesionálnym...,
MJX X600 - dron s FPV prenosom - RC_16991,https://drony.heureka.sk/mjx-x600-dron-s-fpv-prenosom-rc-16991/,"99,00 - 120,00 €","MJX hexakoptéra X600 s FPV online prenosom cez Wifi

Tento jedinečný model hexakoptéry prichádza za skvelú cenu s možnosťou montáže FPV kamery, ktorá Vám umožní sledovanie videa...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
SYMA X9S - lietajúce auto SYMA - RC_48108,https://drony.heureka.sk/syma-x9s-lietajuce-auto-syma-rc-48108/,"59,00 €","Tento model pracuje na frekvencii 2,4GHz a má dva režimy. Režim jazdy a režim lietania. Čo sa letu týka využíva funkcie v smeroch - dopredu, dozadu, doľava, doprava, hore, dole,...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
Yuneec TYPHOON H + Wizard ovladač - YUNTYHBREU,https://drony.heureka.sk/yuneec-typhoon-h-plus-wizard-ovladac-yuntyhbreu/,"1 599,00 €","uneec Typhoon H je kompletně vybavená hexakoptéra určená pro letecké snímkování vybavená 4K kamerou umístěnou na 3-osém závěsu, antikolizními čidly RealSense, vysílačem ST16 s...",
PARROT Ovládač k minidronom FLYPAD - PF725035AA,https://drony.heureka.sk/parrot-ovladac-k-minidronom-flypad-pf725035aa/,"43,34 €",Diaľkové ovládanie špeciálne vytvorené pre minidrony Parrot. Upevnite svoj smartfón do pripraveného držiaka a ovládnite oblohu. Ovládejte presnú dráhu letu minidronu až do...,
Syma X5C - RC kvadrokoptéra s HD kamerou RC_8410,https://drony.heureka.sk/syma-x5c-rc-kvadrokoptera-s-hd-kamerou-rc-8410/,"68,00 €","Syma X5C-1

Syma X5C-1 je najnovší model kvadrokoptéry strednej veľkosti. RC model je dodávaný s 2Mpix kamerou s režimom videa či zaznamenávanie fotografiu. Model je vďaka 6 -...",
Syma RC dron X5SC 2MP HD - RC_16982,https://drony.heureka.sk/syma-rc-dron-x5sc-2mp-hd-rc-16982/,"82,90 €","RC modely kvadrokoptéry SYMA s HD kamerou
VYLEPŠENÁ VERZIA X5SC SO SILNEJŠÍMI MOTORMI A ODOLNEJŠÍM, VYŠŠÍM PODVOZKOM S  VÄČŠÍM OTVOROM NA SILNEJŠÍ  AKUMULÁTOR.

Syma X5SC je...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
Syma X13 Storm 3D flip - RC_16585,https://drony.heureka.sk/syma-x13-storm-3d-flip-rc-16585/,"39,00 - 41,00 €","Ako všetky ostatné produkty značky syma, tak aj Syma X13 Storm sa vo vzduchu správa veľmi stabilne a agilne. Všetko doplnené výborným dielenských spracovaním. Kvôli zachovaniu...",
YUNEEC BREEZE 4K,https://drony.heureka.sk/yuneec-breeze-4k/,"334,25 - 418,42 €","Yuneec BReeze 4K - pokročilý selfie dron s mnohými funkciami vrátane GPS

Dron Yuneec Breeze s kamerou 4K, sa veľmi jednoducho ovláda šikovným telefónom alebo tabletom. Voľba z...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
Syma X8HG full HD kamera + hovering - RC_45559,https://drony.heureka.sk/syma-x8hg-full-hd-kamera-plus-hovering-rc-45559/,"175,00 - 189,00 €","RC KVADROKOPTÉRA SYMA X8HG - Velký dron s Full HD 8 MPX kamerou

 Dron je vhodný napriek svojej veľkosti pre lietanie doma i vonku . Disponuje najnovším systémom stabilizácie -...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
SkyWatcher WiFi 9115 s FPV v ALU kufri - LIMITOVANÁ EDÍCIA - RS_9115K,https://drony.heureka.sk/skywatcher-wifi-9115-s-fpv-v-alu-kufri-limitovana-edicia-rs-9115k/,"141,00 €","RC MODEL SKY WATCHER 3 HD 9115 S HD KAMEROU WIFI A NEUVERITEĽNOU DOBOU LETU 18 MIN V ALU KUFRI.

Na jedno nabitie lietate až neuveriteľných 18 minút. Má vynikajúce testy...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
DJI Phantom 4 Pro - DJIP4PRO2,https://drony.heureka.sk/dji-phantom-4-pro-djip4pro2/,"1 999,00 €","Kvadrokoptéra Phantom 4 Pro + s 4K Ultra HD kamerou umiestnenou na 3-osom stabilizovanom závesu, s integrovaným systémom LightBridge pre prenos obrazu, s video pozičným...",
DJI Phantom 3 Advanced - DJI0324,https://drony.heureka.sk/dji-phantom-3-advanced-dji0324/,"765,00 - 948,00 €","Kvadrokoptéra Phantom 3 vybavená Full HD kamerou umiestnenou na 3-osom stabilizovanom závesu a integrovaným systémom LightBridge pre prenos obrazu. 

 


Staňte sa režisérom a...",
Parrot AR.Drone 2.0 Elite Edition Sand - PF721840BI,https://drony.heureka.sk/parrot-ar-drone-2_0-elite-edition-sand-pf721840bi/,"167,43 - 292,35 €","Veľmi zaujímavá hračka, ktorá je tvorená štyrmi vrtuľami a telom, na ktorom je umiestnená HD kamera. Ovláda sa pomocou Apple iPod, iPhone, iPad, Samsung Wave Bada, Nokia N8, C7,...",
Parrot AR.Drone 2.0 Elite Edition Jungle - PF721842BI,https://drony.heureka.sk/parrot-ar-drone-2_0-elite-edition-jungle-pf721842bi/,"195,80 - 289,00 €","Lietajte a nahrávajte v HD

• Intuitívna pilotáž cez smartphone alebo tablet
• Živé video streamovanie a nahrávanie v HD kvalite
• Automatický stabilizačný systém pre asistované...",
Parrot AR.Drone 2.0 Elite Edition Snow - PF721841BI,https://drony.heureka.sk/parrot-ar-drone-2_0-elite-edition-snow-pf721841bi/,"167,43 - 325,45 €","Inteligentný dron Parrot AR.Drone 2.0 Elite Edition Snow: Kvadrikoptéra Parrot AR.Drone je luxusne spracovaná lietajúci hračka, ktorá poteší deti aj dospelých a je určená ako na...",
DJI F550 ARF kit hexakoptéra - DJI0550,https://drony.heureka.sk/dji-f550-arf-kit-hexakoptera-dji0550/,"246,77 - 246,80 €",Stavebnica mechaniky hexakoptéry sa 6 striedavými motormi C2312E a 20A regulátory. Kompozitové centrálnej dosky s ramenami z plastu plneného sklenými vláknami. Rozpätie ramien...,
Parrot Airborne Night Swat sivý - PF723106AA,https://drony.heureka.sk/parrot-airborne-night-swat-sivy-pf723106aa/,"102,40 - 110,21 €","Precízne spracovaná lietajúca hračka, Kvadrikoptéra Parrot Airborne Night Drone Swat, poteší deti aj dospelých. Je určená na lietanie v exteriéri aj v interiéri. Táto...",
Parrot AR.Drone 2.0 Power Edition - PF721003BI,https://drony.heureka.sk/parrot-ar-drone-2_0-power-edition-pf721003bi/,"229,82 - 327,48 €","Kvadrikoptéra, ktorú je možné riadiť prostredníctvom vášho samartphonu alebo tabletu. Nakláňanie lietajúceho modelu vykonáte jednoduchým naklonením tabletu a o bezpečné...",
DJI F450 ARF kit kvadrokoptéra - DJI0450,https://drony.heureka.sk/dji-f450-arf-kit-kvadrokoptera-dji0450/,"169,00 €",Stavebnica mechaniky kvadrokoptéry so 4 striedavými motormi C2312E / 8000 a 20A regulátory. Kompozitové centrálnej dosky s ramenami z plastu plneného sklenými vláknami. Rozpätie...,
DJI F450 + Naza-M V2 + GPS + H3-3D super combo - DJI0121-13,https://drony.heureka.sk/dji-f450-plus-naza-m-v2-plus-gps-plus-h3-3d-super-combo-dji0121-13/,"1 140,30 €","DJI F450 Stavebnice mechaniky quadrokoptéry pro rekreační i poloprofesionální létání v rozsypu. Po doplnění RC soupravou (aspoň 6 kanálů), řídící jednotkou a 3S pohonným Li-po...",
Parrot Bebop Drone Red - PF722009AA,https://drony.heureka.sk/parrot-bebop-drone-red-pf722009aa/,"413,71 €","Parrot Bebop Drone Red Oproti predchádzajúcim generáciám je samotný drone omnoho menší, avšak omnoho výkonejší. Fotografie bude snímať s rozlíšením 14 Mpx s možnosťou...",
BUDDY TOYS BRQ 10 Humming Bird,https://drony.heureka.sk/buddy-toys-brq-10-humming-bird/,"45,43 €","Kvadrokoptéra BRQ 10 Humming Bird BUDDY TOYS - parametre

 4-kanálová kvadrokoptéra.

 Veľkosť 10 cm.

 Tri úrovne rýchlosti.

 Ovládač 2,4 GHz, dosah 50 metrov.

 Doba letu: 6...",
Parrot AR.Drone 2.0 Orange/Green - PF721040BG,https://drony.heureka.sk/parrot-ar-drone-2_0-orange-green-pf721040bg/,"230,74 €",Výrobca: Parrot SA;,
"Carrera RC Air 2,4 Ghz Quadrocopter CRC X1 (370503001)",https://drony.heureka.sk/carrera-rc-air-2_4-ghz-quadrocopter-crc-x1-370503001/,"42,09 €","Všeobecne, Doporučený vek Od 12 rokov, Typ Lietajúce zariadenie",
Parrot Hydrofoil Orak - PF723400AA,https://drony.heureka.sk/parrot-hydrofoil-orak-pf723400aa/,"126,99 €",Parrot Hydrofoil je obojživelná hračka ovládaná cez Bluetooth z vášho telefónu alebo tabletu. Pripnite kvadrokoptéru na hornú časť plávajúceho modulu a použite jej rotory pre...,
"Nine Eagles Galaxy Visitor 2 RTF 2,4GHz s kamerou - NE3906",https://drony.heureka.sk/nine-eagles-galaxy-visitor-2-rtf-2_4ghz-s-kamerou-ne3906/,"126,10 €",Inteligentný dron Nine Eagles Galaxy Visitor 2 RTF: Kvadrokoptéra NINE EAGLES GALAXY VISITOR 2 s vynikajúcimi letovými vlastnosťami. Konštrukcia z kvalitného pružného plastu...,
